dateTime,pizzaNumber,pizzaStatus
"04/11/2022, 14:08:03",#1,waiting
"04/11/2022, 14:09:42",#1,inProgress
"04/11/2022, 14:09:49",#1,inOven
"04/11/2022, 14:11:30",#1,
"04/11/2022, 14:11:51",#1,
"04/11/2022, 14:11:54",#1,waiting
"04/11/2022, 14:12:21",#1,inProgress
"04/11/2022, 14:12:25",#1,inOven
"04/11/2022, 14:12:27",#1,Done
"04/11/2022, 14:27:03",#1,
"04/11/2022, 14:27:07",#1,inProgress
"04/11/2022, 14:27:20",#1,inOven
"04/11/2022, 17:42:33",#1,
"04/11/2022, 17:42:36",#1,waiting
"04/11/2022, 17:42:40",#1,inProgress
"04/11/2022, 17:42:46",#1,Done
"04/12/2022, 09:10:53",#1,
"04/12/2022, 09:10:56",#1,inProgress
"04/12/2022, 09:10:58",#1,inOven
"04/12/2022, 09:16:56",#1,
"04/12/2022, 09:17:02",#1,waiting
"04/12/2022, 09:17:18",#1,inProgress
"04/12/2022, 09:17:28",#1,inOven
